"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Flagstaff","AZ-UT MSA",4560,4560,0,0,0
"Florence","AL MSA",1001,1001,0,0,0
"Florence","SC MSA",511,511,0,0,0
"Fort Collins-Loveland","CO MSA",30993,26147,1508,506,2832
"Fort Myers-Cape Coral","FL MSA",180650,87955,7260,3102,82333
"Fort Pierce-Port St. Lucie","FL MSA",47572,45044,0,1966,562
"Fort Smith","AR-OK MSA",4445,4022,248,175,0
"Fort Walton Beach","FL MSA",14858,13474,0,153,1231
"Fort Wayne","IN MSA",22672,22672,0,0,0
"Fresno","CA MSA",63751,55210,1911,1419,5211
"Gadsden","AL MSA",869,869,0,0,0
"Gainesville","FL MSA",10352,10352,0,0,0
"Glens Falls","NY MSA",3836,3694,142,0,0
"Goldsboro","NC MSA",3176,3176,0,0,0
"Grand Forks","ND-MN MSA",0,0,0,0,0
"Grand Junction","CO MSA",15210,14210,553,447,0
"Grand Rapids-Muskegon- Holland","MI MSA",50406,48195,107,1535,569
"Great Falls","MT MSA",310,310,0,0,0
"Green Bay","WI MSA",12117,10022,387,0,1708
"Greensboro--Winston-Salem-- High Point","NC MSA",62447,62344,103,0,0
"Greenville","NC MSA",7835,7709,126,0,0
"Greenville-Spartanburg- Anderson","SC MSA",53396,52383,598,0,415
"Harrisburg-Lebanon- Carlisle","PA MSA",13759,13759,0,0,0
"Hartford","CT MSA",22551,20643,510,762,636
"Hattiesburg","MS MSA",573,573,0,0,0
"Hickory-Morganton-Lenoir","NC MSA",14973,14973,0,0,0
"Honolulu","HI MSA",32423,32423,0,0,0
"Houma","LA MSA",6223,6223,0,0,0
"Houston-Galveston-Brazoria TX CMSA","541880",400819,1108,2047,137906,NA
"Huntington-Ashland","WV-KY- OH MSA",97,97,0,0,0
"Huntsville","AL MSA",8505,5891,0,252,2362
"Indianapolis","IN MSA",138978,131968,1111,135,5764
"Iowa City","IA MSA",5830,5830,0,0,0
"Jackson","MI MSA",207,207,0,0,0
"Jackson","MS MSA",20920,20027,65,321,507
"Jackson","TN MSA",1479,1479,0,0,0
"Jacksonville","FL MSA",149859,137859,0,0,12000
"Jacksonville","NC MSA",6247,6247,0,0,0
"Jamestown","NY MSA",0,0,0,0,0
"Janesville-Beloit","WI MSA",2337,1992,170,0,175
"Johnson City-Kingsport- Bristol","TN-VA MSA",7732,7630,102,0,0
"Johnstown","PA MSA",274,274,0,0,0
"Jonesboro","AR MSA",1618,1618,0,0,0
"Joplin","MO MSA",1283,1283,0,0,0
"Kalamazoo-Battle Creek","MI MSA",12391,11791,240,360,0
"Kansas City","MO-KS MSA",123856,109558,2223,2297,9778
"Killeen-Temple","TX MSA",12951,12186,86,679,0
"Knoxville","TN MSA",33891,31936,563,983,409
"Kokomo","IN MSA",1501,1226,275,0,0
"La Crosse","WI-MN MSA",1448,1448,0,0,0
"Lafayette","LA MSA",10158,10158,0,0,0
"Lafayette","IN MSA",3951,3951,0,0,0
"Lake Charles","LA MSA",6736,5644,0,0,1092
"Lakeland-Winter Haven","FL MSA",31647,30941,706,0,0
"Lancaster","PA MSA",10769,9921,0,0,848
"Lansing-East Lansing","MI MSA",12411,12158,0,0,253
"Laredo","TX MSA",9830,9076,0,0,754
"Las Cruces","NM MSA",14798,14643,0,155,0
"Las Vegas","NV-AZ MSA",349599,275127,2077,1173,71222
"Lawrence","KS MSA",5821,5193,279,349,0
"Lawton","OK MSA",1266,1266,0,0,0
"Lewiston-Auburn","ME MSA",591,591,0,0,0
"Lexington","KY MSA",28217,27340,877,0,0
"Lima","OH MSA",761,761,0,0,0
"Lincoln","NE MSA",12757,11802,285,0,670
"Little Rock-North Little Rock","AR MSA",25780,25685,0,95,0
"Longview-Marshall","TX MSA",1734,1734,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",743654,579809,8721,12248,142876
"Louisville","KY-IN MSA",71833,55091,0,503,16239
"Lubbock","TX MSA",25533,13907,0,0,11626
"Lynchburg","VA MSA",12442,12215,0,0,227
"Macon","GA MSA",15983,15766,217,0,0
"Madison","WI MSA",58371,28241,2539,670,26921
"Mansfield","OH MSA",2665,2362,157,0,146
"McAllen-Edinburg-Mission","TX MSA",30755,27300,303,534,2618
"Medford-Ashland","OR MSA",19305,15679,0,1115,2511
"Melbourne-Titusville-Palm Bay","FL MSA",64234,62751,150,0,1333
"Memphis","TN-AR-MS MSA",66258,66258,0,0,0
"Merced","CA MSA",22947,22947,0,0,0
"Miami-Fort Lauderdale","FL CMSA",183852,136886,1954,5219,39793
"Milwaukee-Racine","WI CMSA",94097,59715,2194,1760,30428
"Minneapolis-St. Paul","MN-WI MSA",245766,194479,2064,3867,45356
"Missoula","MT MSA",8415,2661,1340,100,4314
"Mobile","AL MSA",44724,33442,136,611,10535
"Modesto","CA MSA",39407,39069,0,0,338
"Monroe","LA MSA",3409,3409,0,0,0
"Montgomery","AL MSA",11808,11808,0,0,0
"Muncie","IN MSA",1935,1935,0,0,0
"Myrtle Beach","SC MSA",53142,33167,0,964,19011
"Naples","FL MSA",78089,38817,949,0,38323
"Nashville","TN MSA",98791,97733,239,263,556
"New London-Norwich","CT-RI MSA",6576,6396,0,180,0
"New Orleans","LA MSA",47967,46814,168,419,566
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",398040,240493,54853,26503,76191
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",97682,95789,415,273,1205
"Ocala","FL MSA",55798,54928,80,0,790
"Odessa-Midland","TX MSA",4144,4144,0,0,0
"Oklahoma City","OK MSA",71467,68267,277,0,2923
"Omaha","NE-IA MSA",39682,39065,617,0,0
"Orlando","FL MSA",226570,207363,892,0,18315
"Owensboro","KY MSA",2387,2387,0,0,0
"Panama City","FL MSA",13060,13060,0,0,0
"Parkersburg-Marietta","WV-OH MSA",756,756,0,0,0
"Pensacola","FL MSA",43132,34967,1006,0,7159
"Peoria-Pekin","IL MSA",8249,7974,0,275,0
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",177667,130263,6099,413,40892
"Phoenix-Mesa","AZ MSA",529543,479796,554,0,49193
"Pine Bluff","AR MSA",498,498,0,0,0
"Pittsburgh","PA MSA",51659,40211,891,1754,8803
"Pittsfield","MA MSA",0,0,0,0,0
"Pocatello","ID MSA",390,390,0,0,0
"Portland","ME MSA",12831,10503,746,818,764
"Portland-Salem","OR-WA CMSA",172102,162010,2399,855,6838
"Providence-Fall River- Warwick","RI-MA MSA",12644,11946,386,88,224
"Provo-Orem","UT MSA",45347,26131,1717,316,17183
"Pueblo","CO MSA",11829,10524,757,548,0
"Punta Gorda","FL MSA",23493,22860,346,287,0
"Raleigh-Durham-Chapel Hill NC MSA","133934",120226,1273,0,12435,NA
"Rapid City","SD MSA",3847,3616,231,0,0
"Reading","PA MSA",6252,5892,360,0,0
"Redding","CA MSA",15531,13650,223,539,1119
"Reno","NV MSA",40567,37820,0,0,2747
"Richland-Kennewick-Pasco","WA MSA",12522,10751,0,919,852
"Richmond-Petersburg","VA MSA",71940,68380,154,2073,1333
"Roanoke","VA MSA",8073,7349,92,0,632
"Rochester","MN MSA",11949,10418,234,511,786
"Rochester","NY MSA",18346,16546,0,0,1800
"Rockford","IL MSA",13577,13577,0,0,0
"Rocky Mount","NC MSA",4635,4635,0,0,0
"Sacramento-Yolo","CA CMSA",288864,265656,1767,0,21441
"Saginaw-Bay City-Midland","MI MSA",4009,2381,0,300,1328
"St. Cloud","MN MSA",4380,4380,0,0,0
"St. Joseph","MO MSA",1286,1016,130,140,0
"St. Louis","MO-IL MSA",115505,110368,2791,600,1746
"Salinas","CA MSA",15219,13862,0,0,1357
"Salt Lake City-Ogden","UT MSA",112930,92916,1257,928,17829
"San Angelo","TX MSA",2584,2584,0,0,0
"San Antonio","TX MSA",112603,80149,0,0,32454
"San Diego","CA MSA",264494,161667,730,21652,80445
"San Francisco-Oakland-San Jose","CA CMSA",405881,241067,2149,6371,156294
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",27042,26020,774,248,0
"Santa Barbara-Santa Maria- Lompoc","CA MSA",15508,13859,0,0,1649
"Santa Fe","NM MSA",6697,6113,584,0,0
"Sarasota-Bradenton","FL MSA",110880,98657,369,7266,4588
"Savannah","GA MSA",18689,18543,0,0,146
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",4243,4243,0,0,0
"Seattle-Tacoma-Bremerton WA CMSA","262544",229586,7478,4229,21251,NA
"Sharon","PA MSA",644,644,0,0,0
"Sheboygan","WI MSA",405,405,0,0,0
"Sherman-Denison","TX MSA",2093,2093,0,0,0
"Shreveport-Bossier City","LA MSA",14954,14954,0,0,0
"Sioux City","IA-NE MSA",587,587,0,0,0
"Sioux Falls","SD MSA",5705,5705,0,0,0
"South Bend","IN MSA",8986,8761,225,0,0
"Spokane","WA MSA",12679,12252,427,0,0
"Springfield","IL MSA",5063,4773,290,0,0
"Springfield","MO MSA",18466,17846,126,137,357
"Springfield","MA MSA",5175,4925,250,0,0
"State College","PA MSA",10480,3660,0,0,6820
"Steubenville-Weirton","OH-WV MSA",98,98,0,0,0
"Stockton-Lodi","CA MSA",74411,74411,0,0,0
"Sumter","SC MSA",2603,2501,102,0,0
"Syracuse","NY MSA",5238,4939,0,195,104
"Tallahassee","FL MSA",50826,41739,138,0,8949
"Tampa-St. Petersburg- Clearwater","FL MSA",263974,220996,3022,977,38979
"Terre Haute","IN MSA",1364,1364,0,0,0
"Texarkana","TX-TexarkanaAR MSA",1216,1216,0,0,0
"Toledo","OH MSA",21023,18988,465,0,1570
"Topeka","KS MSA",7391,7391,0,0,0
"Tucson","AZ MSA",79055,78058,997,0,0
"Tulsa","OK MSA",43032,42052,258,0,722
"Tuscaloosa","AL MSA",7561,7561,0,0,0
"Tyler","TX MSA",5041,4764,0,0,277
"Utica-Rome","NY MSA",1218,1218,0,0,0
"Victoria","TX MSA",913,913,0,0,0
"Visalia-Tulare-Porterville","CA MSA",26483,22483,0,0,4000
"Waco","TX MSA",6796,4776,782,0,1238
"Washington-Baltimore","DC-MD- VA-WV CMSA",358487,310699,123,538,47127
"Waterloo-Cedar Falls","IA MSA",2049,2049,0,0,0
"Wausau","WI MSA",4010,4010,0,0,0
"West Palm Beach-Boca Raton FL MSA","204156",142408,220,297,61231,NA
"Wheeling","WV-OH MSA",211,211,0,0,0
"Wichita","KS MSA",16624,16114,160,350,0
"Wichita Falls","TX MSA",5264,3640,0,1181,443
"Wilmington","NC MSA",52554,39138,0,320,13096
"Yakima","WA MSA",5029,4688,0,341,0
"York","PA MSA",10518,10518,0,0,0
"Youngstown-Warren","OH MSA",5746,5474,0,0,272
"Yuba City","CA MSA",6835,6673,162,0,0
"Yuma","AZ MSA",15460,15460,0,0,0
